名称,住所,営業日,電話番号
"郷味津々 ちさん亭","〒090-0043 北海道北見市北3条西3-6"," ディナー：17:30～22:00(L.O.21:30)、ランチ：11:30～15:00(ランチタイムは要予約。  2時間制となります。)",050-3460-9288
"海鮮ダイニングBiKuRa ホテルルートインGrand 北見駅前店","〒090-0040 北海道北見市大通西1-2-1","火～土・祝前日・祝日 18:00～22:00(L.O.21:30)(日曜・月曜定休日  18：00開店  22：00閉店 (21：30ラストオーダー))",050-5847-7741
"つぼ八 北見三輪店","〒090-0836 北海道北見市東三輪2-42-1","月～日・祝前日・祝日 17:00～24:00(L.O.23:30、ドリンクL.O.23:30)(変則営業1月1日(17:00～22:00))",0157-66-2660
"山内農場 北見北5条西2丁目店","〒090-0045 北海道北見市北五条西2-15 東宝ビル1F","月～木 17:00～翌1:00
金・土・祝前日 17:00～翌3:00
日・祝日 17:00～24:00",0157-31-3988
"居楽屋白木屋 北見北4条西3丁目店","〒090-0044 北海道北見市北4条西3-3-1 すずや第2ビル1F"," 17:00～翌5:00",0157-61-5188
"寿司・割烹 粋里","〒090-0037 北海道北見市山下町3-3-3","月～日 昼の部：11:30～14:00(※6名様以上完全予約制)
月～日 夜の部：17:00～23:00(L.O.22:00)",050-3491-7890
無国籍料理とお酒TONAKAI,"〒090-0044 北海道北見市北4条西2-16","月～土 ディナー：19:00～翌4:00(L.O.3:00)",0157-57-3746
"FARMER’S RESTAURANT MORSE","〒090-0043 北海道北見市北三条西2-11-1"," ディナー：17:00～22:30(L.O.21:30、ドリンクL.O.21:30)、ランチ：11:30～14:00(L.O.13:30、ドリンクL.O.13:30)",050-3312-7716
"そば香 ろあん","〒090-0040 北海道北見市大通西5-11","月～水・土・日・祝前日・祝日 昼の部：11:00～14:45(L.O.14:00)",0157-23-3838
寿司の小林,"〒090-0044 北海道北見市北4条西3-16-4"," 11:00～23:00",0157-24-2815
"割烹 うめ笹","〒090-0047 北海道北見市北7条西4-13-1"," 11:30～14:30(L.O.13:30)(※昼は前日までに要予約)、17:00～22:00(L.O.21:00)",0157-25-6782
海老蔵,"〒090-0037 北海道北見市山下町1-1-15","月～土 ランチ：11:30～13:30(L.O.13:30)
月～土 ディナー：17:30～22:30(L.O.22:00)(※材料なくなりしだい、終了の時もあります)",0157-23-9129
"鮨 幸","〒090-0045 北海道北見市北5条西4"," ディナー：17:30～23:30(L.O.23:00)",0157-24-1201
"日本料理 やまぶき","〒090-0046 北海道北見市北6条西3-17-1 アクアビル1F"," 17:00～22:00(L.O.22:00)",0157-26-6886
"蕎麦切り おぼろ月","〒090-0016 北海道北見市大町123-1"," ランチ：11:00～15:00(L.O.15:00)",0157-33-1451
"餃子の王将 イオン北見店","〒090-0052 北海道北見市北進町1-1-1 イオン北見店3F"," 11:00～20:30",0157-31-2251
"ラーメン山岡家 北見店","〒090-0835 北海道北見市光西町165"," 24時間営業",0157-61-1150
きなり食堂,"〒090-0041 北海道北見市北1条西2-5 マリモビル2F"," ランチ・ディナー：10:30～20:00",0157-61-8088
"瀋陽飯店 北見","〒090-0043 北海道北見市北3条西3-6 北見ピアソンホテル1F","月～日 ランチ：11:30～14:30(L.O.13:45)
月～日 ディナー：17:00～21:00(L.O.20:30)",0157-25-1145
"伊予製麺 北見店","〒090-0836 北海道北見市東三輪1-31-39 ","月～日 ランチ・ディナー：11:00～22:00(L.O.21:30)",0157-26-2226
ブレ,"〒093-0210 北海道北見市常呂町常呂中央町 ","月・水～日 ランチ：11:30～14:00
月・水～日 ディナー：17:00～20:00(L.O.19:30)",0152-54-2234
"海皇 北見店","〒090-0052 北海道北見市北進町4-2-7 ","月～水・金～日 ランチ・ディナー：11:00～20:00",0157-23-2957
きんりゅう,"〒090-0013 北海道北見市柏陽町590-5 カレッジタウン1F","月～日 昼の部：11:00～15:00
月～日 夜の部：17:00～24:00",0157-24-8121
穂,"〒090-0040 北海道北見市大通西2-1 パラボビル6F","月・水～日 ランチ・ディナー：11:00～19:00(L.O.19:00)(※1／2～1／6は、ランチ・ディナー11：00～18：00（L．O．17：30）となります。)",0157-61-3740
ユーカラ,"〒090-0045 北海道北見市北5条西3 ","月～土 ディナー：17:00～23:00(L.O.22:30)",0157-24-8037
ばんかむ,"〒090-0068 北海道北見市美山町南8-39-55 ","月～日 ランチ・ディナー：8:00～22:00(L.O.22:00)",0157-25-2010
源,"〒090-0013 北海道北見市柏陽町590-5 ","月～日 昼の部：11:00～15:00(L.O.15:00)
月～日 夜の部：17:00～21:00(L.O.21:00)",0157-22-3000
レストラン・レンガハウス,"〒099-1585 北海道北見市上ところ404-7 ","月～日 ランチ：11:30～14:00(L.O.14:00)
月～日 ディナー：17:00～20:30(L.O.20:00)",0157-39-3463
"和牛料理と肉鍋 肉のなごみ","〒090-0045 北海道北見市北五条西4 ソシアルビル1F"," 17:00～23:00(L.O.22:00)",0157-26-4000
三福東店,"〒090-0016 北海道北見市大町107-11 ","火～日 ランチ・ディナー：11:00～20:00(L.O.19:45)",0157-23-8190
北の仲買人　三八,"〒090-0045 北海道北見市北五条西2-17-1 東宝ビル1F","月～土 ディナー：17:30～24:00(L.O.23:00)",0157-57-4455
ラッポルト,"〒090-0806 北海道北見市南町1-5-1 ","月・火・木～土 ディナー：18:00～21:00",0157-25-5983
"十勝豚しゃぶしゃぶ本舗 豚の華","〒090-0835 北海道北見市光西町181-1 キャトルジョイ1F","月～日 ランチ：11:00～14:30(L.O.14:00)
月～日 ディナー：17:00～24:00",0157-31-0011
四丁目酒場,"〒090-0045 北海道北見市北五条西4-2-1 KSビル2F","月～木 ディナー：18:00～24:00
金・土 ディナー：18:00～翌1:00",0157-26-3000
ほりぐち,"〒090-0017 北海道北見市高砂町6-1 武英館1F","火～日 ディナー：17:00～22:00(L.O.22:00)",0157-23-9444
おいでや,"〒090-0008 北海道北見市大正138-2 "," ランチ・ディナー：13:00～21:00",0157-36-6177
たんたん,"〒090-0062 北海道北見市美山町南1-1-86 ","火～土 ディナー：16:00～23:00(L.O.22:30)
日 16:00～22:00(L.O.21:30)",0157-26-1129
ちょびぞう,"〒090-0835 北海道北見市光西町182-1 パルウォーク1F","月～木・日 ディナー：17:00～23:00(L.O.22:00)
金・土 ディナー：17:00～24:00(L.O.23:00)",0157-23-6900
でんまる,"〒090-0045 北海道北見市北五条西3-1-1 ステラビル1F","月～土 ディナー：17:30～24:00(L.O.23:00)",0157-24-9400
